node1	node2
MRPL50	FEM1A
CHMP5	FEM1A
FEM1A	ARL6IP5
FEM1A	STRIP1
FEM1A	ZNF598
RAVER1	FEM1A
FEM1A	P2RX5-TAX1BP3
FEM1A	FH
FEM1A	MTX2
FEM1A	PRDM15
ADAT3	FEM1A
FEM1A	C15orf39
FEM1A	GNPAT
SLFNL1	FEM1A
FEM1A	AIDA
PRCP	FEM1A
NR4A1	FEM1A
ZNF696	FEM1A
FEM1A	EPHB4
FEM1A	GPR35
FEM1A	NRF1
DPP9	FEM1A
FEM1A	PDCL3
FEM1A	MRPL38
FEM1A	RNF115
HDGFL2	FEM1A
FEM1A	CLIP2
FEM1A	EPHB4
BRD1	FEM1A
FEM1A	CREG1
TSEN15	FEM1A
FEM1A	TRAPPC5
PWWP3A	FEM1A
NIFK	FEM1A
ADAT3	FEM1A
FEM1A	TPGS1
FEM1A	TRMT44
TPM3	FEM1A
FEM1A	ILF3
TSNAX	FEM1A
SH2D3A	FEM1A
FEM1A	PKD1
BRPF1	FEM1A
KIF26A	FEM1A
SPPL2B	FEM1A
FEM1A	BRD4
FEM1A	ALDH9A1
FEM1A	ZNF316
FEM1A	TMCO1
FEM1A	GPR146
ADAT3	FEM1A
